games_id,games_name,season,year
1,"1992 Summer","Summer",1992
2,"2012 Summer","Summer",2012
3,"1920 Summer","Summer",1920
4,"1900 Summer","Summer",1900
5,"1988 Winter","Winter",1988
6,"1992 Winter","Winter",1992
7,"1994 Winter","Winter",1994
8,"1932 Summer","Summer",1932
9,"2002 Winter","Winter",2002
10,"1952 Summer","Summer",1952
11,"1980 Winter","Winter",1980
12,"2000 Summer","Summer",2000
13,"1996 Summer","Summer",1996
14,"1912 Summer","Summer",1912
15,"1924 Summer","Summer",1924
16,"2014 Winter","Winter",2014
17,"1948 Summer","Summer",1948
18,"1998 Winter","Winter",1998
19,"2006 Winter","Winter",2006
20,"2008 Summer","Summer",2008
21,"2016 Summer","Summer",2016
22,"2004 Summer","Summer",2004
23,"1960 Winter","Winter",1960
24,"1964 Winter","Winter",1964
25,"1984 Winter","Winter",1984
26,"1984 Summer","Summer",1984
27,"1968 Summer","Summer",1968
28,"1972 Summer","Summer",1972
29,"1988 Summer","Summer",1988
30,"1936 Summer","Summer",1936
31,"1952 Winter","Winter",1952
32,"1956 Winter","Winter",1956
33,"1956 Summer","Summer",1956
34,"1960 Summer","Summer",1960
35,"1928 Summer","Summer",1928
36,"1976 Summer","Summer",1976
37,"1980 Summer","Summer",1980
38,"1964 Summer","Summer",1964
39,"2010 Winter","Winter",2010
40,"1968 Winter","Winter",1968
41,"1906 Summer","Summer",1906
42,"1972 Winter","Winter",1972
43,"1976 Winter","Winter",1976
44,"1924 Winter","Winter",1924
45,"1904 Summer","Summer",1904
46,"USA",1984,"1984 Summer"
47,"1928 Winter","Winter",1928
48,"1908 Summer","Summer",1908
49,"1948 Winter","Winter",1948
50,"1932 Winter","Winter",1932
51,"1936 Winter","Winter",1936
52,"GER",1992,"1992 Summer"
53,"Belgium","1928 Summer","BEL"
54,"PHI",1960,"1960 Summer"
55,"GRE",1906,"1906 Summer"
56,"FIN",2002,"2002 Winter"
57,"1896 Summer","Summer",1896
58,"PUR",1992,"1992 Winter"
59,"DEN",1948,"1948 Summer"
60,"SWE",1948,"1948 Summer"
61,"FRA",1972,"1972 Summer"
62,"GBR",1976,"1976 Summer"
63,"ROU",1980,"1980 Summer"
64,"POL",1952,"1952 Summer"
65,"BOL",1980,"1980 Winter"
66,"CAN",1936,"1936 Summer"
67,"Canada","1936 Summer","CAN"
68,"FSM",2016,"2016 Summer"
69,"AUT",1960,"1960 Summer"
70,"HUN",2000,"2000 Summer"
71,"EUN",1992,"1992 Winter"
72,"CMR",2000,"2000 Summer"
73,"France","1948 Summer","FRA"
74, New York","1904 Summer","USA"
75,"NZL",1968,"1968 Winter"
76,"GUM",2008,"2008 Summer"
77,"BEL",1920,"1920 Summer"
78,"UKR",2000,"2000 Summer"
79,"GDR",1976,"1976 Summer"
80,"RUS",2012,"2012 Summer"
81,"Unified Team","1992 Summer","EUN"
82,"NED",1928,"1928 Summer"
83,"JAM",2000,"2000 Summer"
84,"AUS",1980,"1980 Summer"
85,"BRA",1924,"1924 Summer"
86,"ARG",1996,"1996 Summer"
87,"TCH",1960,"1960 Summer"
88,"CZE",1996,"1996 Summer"
89,"ISV",2016,"2016 Summer"
90,"HKG",1964,"1964 Summer"
91,"CHI",1988,"1988 Summer"
92,"CUB",1992,"1992 Summer"
93,"Great Britain","1980 Summer","GBR"
94,"ESP",1956,"1956 Winter"
95,"ECU",1972,"1972 Summer"
96, St Louis","1904 Summer","USA"
97,"URS",1956,"1956 Summer"
98,"Netherlands","1932 Summer","NED"
99,"NOR",1956,"1956 Summer"
100,"SUI",1920,"1920 Summer"
101,"TUR",2012,"2012 Summer"
102,"United States","1988 Summer","USA"
103,"FRG",1972,"1972 Summer"
104,"YUG",1988,"1988 Summer"
105,"IOA",1992,"1992 Summer"
106,"LIE",1968,"1968 Summer"
107,"PER",1980,"1980 Summer"
108,"Poland","1956 Summer","POL"
109,"BUL",1988,"1988 Summer"
110,"ISR",1952,"1952 Summer"
111, Hamburg","1900 Summer","GER"
112,"BOH",1912,"1912 Summer"
113,"PAN",1928,"1928 Summer"
114, Hamburg-2","1900 Summer","GER"
115,"Norway","1924 Winter","NOR"
116,NA,"USA","United States"
117,"Czechoslovakia","1936 Winter","TCH"
118,"LUX",1936,"1936 Summer"
119,"LIB",1960,"1960 Summer"
120,"LAT",1928,"1928 Summer"
121,"BER",1956,"1956 Summer"
122,"Hungary","1952 Summer","HUN"
123,"ITA",2014,"2014 Winter"
124,"SVK",2002,"2002 Winter"
125,"GUA",1932,"1932 Summer"
126,"ZIM",1980,"1980 Summer"
127,"MEX",1960,"1960 Summer"
128,"BAH",1968,"1968 Summer"
129, Brooklyn","1904 Summer","NOR"
130,"NGR",2000,"2000 Summer"
131,"COK",2008,"2008 Summer"
132,"FIJ",1984,"1984 Summer"
133,"Romania","1964 Summer","ROU"
134,"RSA",1960,"1960 Summer"
135, Chicago","1904 Summer","USA"
136,"THA",1952,"1952 Summer"
137,"Germany","1964 Winter","GER"
138,"East Germany","1968 Winter","GDR"
139,"ALB",1992,"1992 Summer"
140,"IND",1948,"1948 Summer"
141,"PLW",2004,"2004 Summer"
142,"BLR",2004,"2004 Summer"
143,"Australia","1960 Summer","AUS"
144,"LTU",1996,"1996 Summer"
