sport_id,sport_name
1,"Basketball"
2,"Judo"
3,"Football"
4,"Tug-Of-War"
5,"Speed Skating"
6,"Cross Country Skiing"
7,"Athletics"
8,"Ice Hockey"
9,"Swimming"
10,"Badminton"
11,"Sailing"
12,"Biathlon"
13,"Gymnastics"
14,"Art Competitions"
15,"Alpine Skiing"
16,"Handball"
17,"Weightlifting"
18,"Wrestling"
19,"Luge"
20,"Water Polo"
21,"Hockey"
22,"Rowing"
23,"Bobsleigh"
24,"Fencing"
25,"Equestrianism"
26,"Shooting"
27,"Boxing"
28,"Taekwondo"
29,"Cycling"
30,"Diving"
31,"Canoeing"
32,"Tennis"
33,"Modern Pentathlon"
34,"Figure Skating"
35,"Golf"
36,"Softball"
37,"Archery"
38,"Volleyball"
39,"Synchronized Swimming"
40,"Table Tennis"
41,"Nordic Combined"
42,"Baseball"
43,"Rhythmic Gymnastics"
44,"Freestyle Skiing"
45,"Rugby Sevens"
46,"Los Angeles"
47,"Munich"
48,"Trampolining"
49,"Beach Volleyball"
50,"Triathlon"
51,"Ski Jumping"
52,"Curling"
53,"Barcelona"
54,"Berlin"
55,"Summer"
56,"Roma"
57,"Mexico City"
58,"Athina"
59,"Snowboarding"
60,"Salt Lake City"
61,"Amsterdam"
62,"Rugby"
63,"Short Track Speed Skating"
64,"Skeleton"
65,"Oslo"
66,"Cortina d'Ampezzo"
67,"Lacrosse"
68,"Antwerpen"
69,"Polo"
70,"Helsinki"
71,"Albertville"
72,"Lillehammer"
73,"Nagano"
74,"London"
75,"Cricket"
76,"Seoul"
77,"Montreal"
78,"Moskva"
79,"Melbourne"
80,"Lake Placid"
81,"St. Louis"
82,"Atlanta"
83,"Racquets"
84,"Motorboating"
85,"Military Ski Patrol"
86,"Rio de Janeiro"
87,"Croquet"
88,"Sydney"
89,"Torino"
90,"Paris"
91,"Beijing"
92,"Sarajevo"
93,"Sapporo"
94,"Innsbruck"
95,"Garmisch-Partenkirchen"
96,"Sankt Moritz"
97,"Squaw Valley"
98,"Jeu De Paume"
99,"Tokyo"
100,"Grenoble"
101,"Stockholm"
102,"Roque"
103,"Alpinism"
104,"Calgary"
105,"Basque Pelota"
106,"Winter"
107,1928
108,1932
109,"Vancouver"
110,"Sochi"
111,"Chamonix"
112,"Aeronautics"
